sampling_round,block,treatment,plot
1,1,switchgrass,AE
1,1,native grass,AG
1,1,successional,AI
1,1,prairie,AJ
1,2,switchgrass,BE
1,2,native grass,BG
1,2,successional,BI
1,2,prairie,BJ
1,3,switchgrass,CE
1,3,native grass,CG
1,3,successional,CI
1,3,prairie,CJ
1,4,switchgrass,DE
1,4,native grass,DG
1,4,successional,DI
1,4,prairie,DJ
1,5,switchgrass,EE
1,5,native grass,EG
1,5,successional,EI
1,5,prairie,EJ
2,1,switchgrass,AE
2,1,native grass,AG
2,1,successional,AI
2,1,prairie,AJ
2,2,switchgrass,BE
2,2,native grass,BG
2,2,successional,BI
2,2,prairie,BJ
2,3,switchgrass,CE
2,3,native grass,CG
2,3,successional,CI
2,3,prairie,CJ
2,4,switchgrass,DE
2,4,native grass,DG
2,4,successional,DI
2,4,prairie,DJ
2,5,switchgrass,EE
2,5,native grass,EG
2,5,successional,EI
2,5,prairie,EJ
3,1,switchgrass,AE
3,1,native grass,AG
3,1,successional,AI
3,1,prairie,AJ
3,2,switchgrass,BE
3,2,native grass,BG
3,2,successional,BI
3,2,prairie,BJ
3,3,switchgrass,CE
3,3,native grass,CG
3,3,successional,CI
3,3,prairie,CJ
3,4,switchgrass,DE
3,4,native grass,DG
3,4,successional,DI
3,4,prairie,DJ
3,5,switchgrass,EE
3,5,native grass,EG
3,5,successional,EI
3,5,prairie,EJ
4,1,switchgrass,AE
4,1,native grass,AG
4,1,successional,AI
4,1,prairie,AJ
4,2,switchgrass,BE
4,2,native grass,BG
4,2,successional,BI
4,2,prairie,BJ
4,3,switchgrass,CE
4,3,native grass,CG
4,3,successional,CI
4,3,prairie,CJ
4,4,switchgrass,DE
4,4,native grass,DG
4,4,successional,DI
4,4,prairie,DJ
4,5,switchgrass,EE
4,5,native grass,EG
4,5,successional,EI
4,5,prairie,EJ
