sampling_round,collector,time,date,cloud cover,block,G,plot,treatment,flower_genus,flower_species,flower,number_plants,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,notes,floral_resources,avg_flowers
1,JW,,7/18/18,10,1,5,AE,switchgrass,Daucus,carota,Daucus_carota,3,20,20,35,,,,,,,,,75,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Erigeron,annus,Erigeron,2,10,9,,,,,,,,,,19,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Hypericum,perforatum,Hypericum_perforatum,1,4,,,,,,,,,,,4,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Monarda,fistulosa,Monarda_fistulosa,150,19,16,20,15,12,22,18,16,17,,,2583.333333,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Ratibida,pinnata,Ratibida_pinnata,5,2,1,2,1,1,,,,,,,7,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Rudbeckia,hirta,Rudbeckia_hirta,89,1,1,1,1,1,1,3,2,1,1,,115.7,
1,JW,,7/18/18,10,1,5,AE,switchgrass,Silphium,perfoliatum,Silphium_perfoliatum,5,3,1,1,1,1,,,,,,,7,
2,AB,9:10,8/13/18,5,1,5,AE,switchgrass,Daucus,carota,Daucus_carota,15,40,37,29,44,26,31,32,20,28,24,,466.5,
2,AB,9:10,8/13/18,5,1,5,AE,switchgrass,Ratibida,pinnata,Ratibida_pinnata,7,1,1,1,1,1,1,1,,,,,7,
2,AB,9:10,8/13/18,5,1,5,AE,switchgrass,Silphium,perfoliatum,Silphium_perfoliatum,17,1,1,1,1,1,1,1,1,1,1,,17,
3,IR,13:38,8/31/18,5,1,5,AE,switchgrass,Daucus,carota,Daucus_carota,2,12,7,,,,,,,,,,19,
3,IR,13:38,8/31/18,5,1,5,AE,switchgrass,Oenothera,biennis,Oenothera_biennis,2,1,4,,,,,,,,,,5,
3,IR,13:38,8/31/18,5,1,5,AE,switchgrass,Solidago,canadensis,Solidago_canadensis,109,1,10,1,1,3,12,8,3,17,6,raceme=flower,675.8,
4,IR,11:21,9/19/18,95,1,5,AE,switchgrass,Lactuca,serriola,Lactuca_serriola,1,5,,,,,,,,,,,5,
4,IR,11:21,9/19/18,95,1,5,AE,switchgrass,med leafed Symph,,Symphotrichum_novaeangliae,7,19,9,11,3,8,6,22,,,,,78,
4,IR,11:21,9/19/18,95,1,5,AE,switchgrass,Oenothera,biennis,Oenothera_biennis,1,3,,,,,,,,,,,3,
4,IR,11:21,9/19/18,95,1,5,AE,switchgrass,Solidago,canadensis,Solidago_canadensis,190,12,10,55,756,77,52,14,70,105,86,,23503,
4,IR,11:21,9/19/18,95,1,5,AE,switchgrass,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,8,7,5,2,4,2,1,1,5,,,,27,
1,JW,13:58,7/18/18,5,1,7,AG,native grass,Daucus,carota,Daucus_carota,4,21,24,36,44,,,,,,,,125,
2,AB,9:10,8/13/18,5,1,7,AG,native grass,Daucus,carota,Daucus_carota,4,15,14,26,15,,,,,,,,70,
3,IR,14:00,8/31/18,5,1,7,AG,native grass,0,0,,0,,,,,,,,,,,,0,
3,IR,15:17,9/19/18,30,1,7,AG,native grass,0,0,,0,,,,,,,,,,,,0,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Achillea,millefolium,Achillea_millefolium,12,34,45,16,19,38,70,56,55,13,41,,464.4,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Cirsium,sp.,Cirsium,370,1,1,1,1,1,1,1,1,1,1,,370,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Daucus,carota,Daucus_carota,37,56,28,22,61,22,12,32,39,11,14,,1098.9,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Erigeron,annus,Erigeron,24,10,3,3,2,7,8,5,9,6,1,,129.6,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Hieracium,kalmii,Hieracium_kalmii,1,1,,,,,,,,,,,1,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Hieracium,kalmii,Hieracium_kalmii,2,5,1,,,,,,,,,,6,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Monarda,fistulosa,Monarda_fistulosa,48,21,23,8,6,7,13,4,5,1,15,,494.4,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Rudbeckia,hirta,Rudbeckia_hirta,5,1,1,1,1,1,,,,,,,5,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Silphium,perfoliatum,Silphium_perfoliatum,34,1,1,1,1,1,1,1,1,1,1,,34,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Torilis,sp.,Torilis,347,8,10,6,8,8,8,3,7,8,6,,2498.4,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,unknown,unknown,unknown7,2,20,42,,,,,,,,,unknown tiny white photo 14:06 1 plant=1 stem 1 flower=1flower,62,
1,LK,13:55,7/18/18,1,1,8,AH,poplar,Vicia,americana,Vicia_americana,2,12,6,,,,,,,,,,18,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Cirsium,vulgare,Cirsium,1,1,,,,,,,,,,,1,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Daucus,carota,Daucus_carota,433,40,10,45,25,22,30,33,28,30,27,,12557,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Erigeron,annus,Erigeron,6,4,1,2,2,3,3,,,,,,15,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Ratibida,pinnata,Ratibida_pinnata,5,1,1,1,1,1,,,,,,,5,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Rudbeckia,hirta,Rudbeckia_hirta,1,1,,,,,,,,,,,1,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Silphium,perfoliatum,Silphium_perfoliatum,47,1,1,1,1,1,1,1,1,1,1,,47,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Solidago,graminifolia,Solidago_graminifolia,15,84,18,64,41,5,53,42,22,8,23,pic on phone flat top,540,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Solidago,sp.,Solidago,11,15,3,30,9,38,35,26,77,21,17,pic on phone,298.1,
2,AB,9:10,8/13/18,5,1,8,AH,poplar,Vicia,americana,Vicia_americana,3,4,6,16,,,,,,,,,26,
3,IR,9:55,8/31/18,,1,8,AH,poplar,Daucus,carota,Daucus_carota,75,15,14,10,20,43,42,15,35,85,36,,2362.5,
3,IR,9:55,8/31/18,,1,8,AH,poplar,Solidago,canadensis,Solidago_canadensis,2736,2,20,62,4,9,1,23,13,5,7,raceme=flower,39945.6,
3,IR,9:55,8/31/18,,1,8,AH,poplar,Solidago,graminifolia,Solidago_graminifolia,45,17,3,13,11,16,11,6,1,6,3,clump=flower,391.5,
3,IR,9:55,8/31/18,,1,8,AH,poplar,Solidago,,Solidago_round,3,8,15,6,,,,,,,,round leaf solidago,29,
3,IR,9:55,8/31/18,,1,8,AH,poplar,Symphotrichum,,Symphotrichum_novaeangliae,4,1,2,1,1,,,,,,,,5,
4,IR,15:30,9/19/18,20,1,8,AH,poplar,Daucus,carota,Daucus_carota,4,85,21,17,39,,,,,,,,162,
4,IR,15:30,9/19/18,20,1,8,AH,poplar,grass leafed Symph,,Symph_grass,195,4,33,2,8,3,17,20,47,20,14,,3276,
4,IR,15:30,9/19/18,20,1,8,AH,poplar,med leafed Symph,,Symphotrichum_novaeangliae,52,3,47,25,15,12,2,11,10,5,6,,707.2,
4,IR,15:30,9/19/18,20,1,8,AH,poplar,Solidago,canadensis,Solidago_canadensis,546,,,,,,,,,,,,#DIV/0!,
4,IR,15:30,9/19/18,20,1,8,AH,poplar,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,115,3,2,2,5,4,5,24,1,4,25,,862.5,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Asclepias,syriaca,Asclepias_syriaca,1,3,,,,,,,,,,,3,
1,JW,14:55,7/18/18,10,1,9,AI,successional,Daucus,carota,Daucus_carota,15,30,40,30,20,,,,,,,,450,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Daucus,carota,Daucus_carota,23,60,18,29,23,19,37,24,76,51,37,,860.2,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Erigeron,annus,Erigeron,2,4,27,,,,,,,,,,31,
1,JW,14:55,7/18/18,10,1,9,AI,successional,Hypericum,perforatum,Hypericum_perforatum,8,6,6,7,2,4,5,4,,,,,38.85714286,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Hypericum,perforatum,Hypericum_perforatum,1,7,,,,,,,,,,,7,
1,JW,14:55,7/18/18,10,1,9,AI,successional,Monarda,fistulosa,Monarda_fistulosa,43,10,15,15,,,,,,,,,573.3333333,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Monarda,fistulosa,Monarda_fistulosa,127,21,17,18,11,12,5,6,10,19,15,,1701.8,
1,JW,14:55,7/18/18,10,1,9,AI,successional,Ratibida,pinnata,Ratibida_pinnata,6,3,2,1,3,2,,,,,,,13.2,
1,LK,14:55,7/18/18,10,1,9,AI,successional,Ratibida,pinnata,Ratibida_pinnata,14,1,1,1,1,1,1,1,1,1,1,,14,
1,JW,14:55,7/18/18,10,1,9,AI,successional,Silphium,perfoliatum,Silphium_perfoliatum,5,5,5,4,1,4,,,,,,,19,
