sampling_round,collector,time,date,AM_PM,temperature,wind_max,wind_avg,cloud_cover,block,G,treatment,group,flower_genus,flower_species,notes,unique_ID,sex,group_edit,group_analysis,plot,pollinator_group
2,LK,13:01,8/18/18,PM,27.6,3.4,4.4,85,1,7,native grass,0,,,,,,0,0,AG,0
2,LK,11:44,8/18/18,AM,25.8,5,2.2,85,1,7,native grass,0,,,,,,0,0,AG,0
4,SG,15:47,9/17/18,PM,32.5,4,2.2,50,1,7,native grass,0,,,did not sample no flowers,,,0,0,AG,0
4,SG,11:05,9/17/18,AM,27.2,2.8,1.7,5,1,7,native grass,0,,,no flowers just walked through,,,0,0,AG,0
3,SG,10:47,9/2/18,AM,25.6,4.2,2,90,1,7,native grass,0,,,tiny patch of s canadensis no pollinators,,,0,0,AG,0
3,SG,13:07,9/2/18,PM,28.7,3.5,2.1,80,1,7,native grass,0,,,small patch of gr only,,,0,0,AG,0
4,LK,14:45,9/17/18,PM,30,3,2,20,2,5,switchgrass,0,,,,,,0,0,BE,0
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,7,native grass,0,,,,,,0,0,BG,0
3,LK,11:27,8/31/18,AM,24.5,4,2.5,5,2,7,native grass,0,,,,,,0,0,BG,0
2,SG,13:53,8/18/18,PM,,,,,2,7,native grass,0,,,,,,0,0,BG,0
2,SG,10:58,8/18/18,AM,25,3.6,2.4,30,2,7,native grass,0,,,,,,0,0,BG,0
4,LK,13:55,9/17/18,PM,30.5,3.8,1.6,10,3,7,native grass,0,,,,,,0,0,CG,0
4,LK,10:10,9/17/18,AM,24.1,3.5,2.1,5,3,7,native grass,0,,,,,,0,0,CG,0
4,LK,14:08,9/17/18,PM,32.7,2.2,1,20,3,10,prairie,0,,,,,,0,0,CJ,0
3,SG,14:23,9/2/18,PM,29.1,7.1,3.1,90,3,10,prairie,0,,,very few flowers jus a few gr,,,0,0,CJ,0
1,SG,13:32,7/19/18,PM,27.6,9.7,5.1,,4,7,native grass,0,0,0,,,,0,0,DG,0
1,SG,11:49,7/19/18,AM,26.9,8.1,4.7,,4,7,native grass,0,0,0,,,,0,0,DG,0
4,LK,15:37,9/17/18,PM,32.2,1.8,1,15,4,7,native grass,0,,,,,,0,0,DG,0
4,LK,12:07,9/17/18,AM,27.6,5.8,2.8,5,4,7,native grass,0,,,,,,0,0,DG,0
2,LK,,8/14/18,AM,,,,,4,7,native grass,0,,,no flowers,GLBRC_p_6139,,0,0,DG,0
2,LK,14:00,8/14/18,PM,,,,,4,7,native grass,0,,,no flowers,GLBRC_p_6753,,0,0,DG,0
3,SG,10:46,9/3/18,AM,26.4,4.6,3.3,70,5,5,switchgrass,0,,,just stalk of s canadensis no pollinators on it. Spent 10 sec watching,,,0,0,EE,0
2,LK,10:22,8/13/18,AM,25.4,2.7,1.6,10,5,7,native grass,0,,,no flowers,,,0,0,EG,0
1,SG,11:37,7/25/18,AM,26.8,4.2,1.5,10,5,7,native grass,0,0,0,,,,0,0,EG,0
1,SG,15:15,7/25/18,PM,.,.,.,.,5,7,native grass,0,0,0,,,,0,0,EG,0
2,LK,15:05,8/13/18,PM,,,,,5,7,native grass,0,,,no flowers,,,0,0,EG,0
4,SG,11:28,9/18/18,AM,27.2,4.2,2.8,5,5,7,native grass,0,,,no flowers,,,0,0,EG,0
4,SG,,9/18/18,PM,,,,,5,7,native grass,0,,,no flowers did not sample,,,0,0,EG,0
3,SG,10:24,9/3/18,AM,25.1,3.4,1.4,70,5,7,native grass,0,,,no flowers,,,0,0,EG,0
3,SG,14:10,9/3/18,PM,30.6,4.1,2.9,95,5,7,native grass,0,,,"did not sample, no flowers",,,0,0,EG,0
1,LK,14:40,7/19/18,PM,28.9,13.1,7.3,60,1,5,switchgrass,Andrena rudbeckia,Ratibida,pinnata,photos 14:42,GLBRC_p_0278,,Andrena,Andrena,AE,Native bee
2,LK,11:18,8/18/18,AM,26.5,4.6,2.2,85,1,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_3306,,Andrena,Andrena,AH,Native bee
1,LK,10:27,7/19/18,AM,24.7,8.5,5.5,,1,10,prairie,Andrena rudbeckia,Ratibida,pinnata,photo 10:55,GLBRC_p_0167,,Andrena,Andrena,AJ,Native bee
1,SG,13:48,7/25/18,AM,27.8,7.2,4.4,,2,5,switchgrass,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0414,,Andrena,Andrena,BE,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1486,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1487,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1488,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1489,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1490,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1491,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1492,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1493,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1494,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1495,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1496,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1497,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1498,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1499,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1500,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1501,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1502,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1503,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1504,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1505,,Andrena,Andrena,BH,Native bee
3,LK,14:21,8/31/18,PM,26.8,5,3.8,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1506,,Andrena,Andrena,BH,Native bee
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2079,,Andrena,Andrena,BH,Native bee
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2084,,Andrena,Andrena,BH,Native bee
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2085,,Andrena,Andrena,BH,Native bee
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2086,,Andrena,Andrena,BH,Native bee
